,GAN生成器损失,判别器A损失,判别器B损失,身份损失,对抗损失,循环损失
49,1.3359825427715595,0.042174849372643694,0.05238096293184783,0.011980429455474183,0.668512340757873,0.655489770593224
50,1.31994752569513,0.0368167533651813,0.04836183115021213,0.0026337917034442607,0.6667215454054403,0.6505921840012728
51,1.3117803099391225,0.04178482867204226,0.048574168726310624,0.01553512536562406,0.6619058300505628,0.6343393486279708
52,1.3086851612552182,0.06203705614821597,0.04956052947666619,0.0027730576284639126,0.6639479785175114,0.6419641274017293
53,1.3049856306432368,0.05451063279594694,0.04974439453620177,0.005732737399719573,0.6647518919064448,0.6345009970795977
54,1.2939551020716573,0.026569821513616122,0.06382929521438839,0.0018202210520650004,0.6603876604483678,0.6317472143487616
55,1.2910420121727408,0.05139578600506206,0.04046648830830396,0.0018939303827809765,0.6575949585044777,0.6315531298354432
56,1.3050103777057522,0.060692499708998336,0.05995111052806561,0.003455156153374976,0.6603551919643695,0.6412000335179843
57,1.2846355005934997,0.03235908243600484,0.05062123052366487,0.002036653377197601,0.663236657996754,0.6193621908570384
58,1.2466256461300693,0.05105854630224652,0.05745941744400905,0.0036808494683150408,0.6465298192841666,0.5964149750851013
59,1.2719460476885784,0.03237414466483252,0.057483379248079364,0.0017360841834938134,0.6554324554873037,0.6147774972103455
60,1.2816322491719172,0.032027715346315405,0.06007803432070292,0.0017501371247427805,0.650722011760041,0.6291600976671491
61,1.3308919720597319,0.04392253554293087,0.06075570200170789,0.002302963000077468,0.6954349177879292,0.6331540909442273
62,1.300691423835335,0.05037358816672158,0.04532568860840011,0.004275241395929358,0.6566674073973855,0.6397487786444989
63,1.2855625715884533,0.06103724662910451,0.0710646302162946,0.002259154241163652,0.6618894407382379,0.6214139749715616
64,1.2858102033426473,0.03720504823294315,0.057669562297862964,0.0015274908516433212,0.6617892243704953,0.6224934946704697
65,1.2784668665665846,0.04723254902349724,0.0516714777715586,0.002188076029767047,0.6484783019993331,0.6278004901749747
66,1.265308691905095,0.056290780613710595,0.03616959953701103,0.0016789717988653498,0.6377453804016113,0.6258843478920696
67,1.2516113283869985,0.029244677273679402,0.03518396910730299,0.0014785233434740004,0.6461985821907337,0.6039342310402419
68,1.2398048586897799,0.030280449458367224,0.054823857762820116,0.0022866699721787002,0.633840866796263,0.6036773242138245
69,1.1981103439907452,0.14090366655408026,0.04009223737559476,0.004318875270885426,0.6291973838111856,0.5645940858911682
70,1.2376569044458998,0.09013507224537515,0.0508781781235894,0.0048097162456302855,0.6335575195786717,0.5992896725515743
71,1.258067670759264,0.04836218079531586,0.06947007767119251,0.002904219941778497,0.6547183774329803,0.6004450756769913
72,1.219092581298325,0.07642796649955787,0.052597988437820264,0.0019421859101934748,0.6454305943551955,0.5717198044716657
73,1.2742474806177748,0.05902129317541699,0.04937058572585766,0.0025298562678661976,0.656917086996875,0.6148005342418021
74,1.2123529242945241,0.06553312824465908,0.03292191585341653,0.004921312515552227,0.6295987253005688,0.5778328887708895
75,1.2750666180809775,0.06785786205104419,0.05594275171285147,0.002218899491069081,0.6565277075374519,0.6163200041749975
76,1.25300758094578,0.03887384280480526,0.042130622071224255,0.001220864909035819,0.6557480696138445,0.5960386536278568
77,1.2762723191753849,0.056529202027717135,0.03349722045791018,0.0030522621594942533,0.6533156561327504,0.6199044089068423
78,1.2454063368367625,0.02831419130050383,0.0469031396147969,0.003984274444999276,0.6448849816243727,0.5965370896098378
79,1.2125964073034434,0.01814012947379724,0.04588986540233696,0.0016837958451155779,0.6351105809866727,0.5758020285066667
80,1.1983065998161233,0.0299710133112967,0.04201747739053035,0.0014923896108354842,0.6266741552850702,0.5701400542652214
81,1.1984291089760077,0.028525782288512685,0.035274931362697055,0.022475405708774106,0.6225697427660555,0.5533839559162056
82,1.200344022813734,0.04756061759378229,0.0423046520778111,0.0036118364596104883,0.6318004909125003,0.5649316952778742
83,1.1615248853033715,0.05545181897724723,0.0376967517556725,0.004168680081000695,0.6212970727420115,0.5360591378840771
84,1.1626515984535217,0.054314318880602556,0.04271721414157322,0.0026260601295219673,0.6194474002817175,0.5405781377147842
